fecha_observacion,hum_maximo,hum_media,hum_minimo,rad_maximo,rad_total,rain_total,temp_maximo,temp_media,temp_minimo,wsp_maximo,wsp_media,wsp_minimo,anio,mes,dia,dia_semana,dia_del_anyo,estacion_invierno,estacion_otono,estacion_primavera,estacion_verano
2025-01-01,87.2,75.26458,54.9,633.6,15798.9,0.0,16.4,12.355556,9.5,2.6,1.4819444,0.3,2025,1,1,2,1,True,False,False,False
2025-01-02,85.7,76.208336,57.7,671.4,14834.3,0.0,16.4,12.828472,10.4,2.3,1.1069444,0.0,2025,1,2,3,2,True,False,False,False
2025-01-03,84.7,70.474304,48.7,732.8,22179.8,0.0,18.8,13.140278,9.3,3.2,1.4222223,0.0,2025,1,3,4,3,True,False,False,False
2025-01-04,78.7,56.275,30.6,666.1,22167.7,0.0,17.6,13.934722,10.4,3.4,1.3930556,0.5,2025,1,4,5,4,True,False,False,False
2025-01-05,93.0,58.59375,31.0,698.6,21787.2,0.0,19.2,14.614583,10.1,2.4,1.50625,0.0,2025,1,5,6,5,True,False,False,False
2025-01-06,98.4,87.920135,62.1,575.1,14718.3,1.8,17.5,13.953472,11.5,2.4,1.1777778,0.0,2025,1,6,0,6,True,False,False,False
2025-01-07,94.4,83.571526,57.0,586.1,12990.8,0.0,18.8,13.731944,10.9,2.0,1.1069444,0.0,2025,1,7,1,7,True,False,False,False
2025-01-08,92.4,78.486115,61.7,800.6,18853.3,0.0,17.3,13.107639,10.0,3.0,1.5694444,0.2,2025,1,8,2,8,True,False,False,False
2025-01-09,66.7,47.24097,29.4,673.9,24894.5,0.0,19.9,13.836805,8.2,2.6,1.5493056,0.1,2025,1,9,3,9,True,False,False,False
2025-01-10,49.5,30.947222,21.4,681.0,25234.7,0.0,20.7,16.772917,13.5,4.9,2.1555555,0.2,2025,1,10,4,10,True,False,False,False
2025-01-11,36.4,24.10486,14.8,688.1,25470.7,0.0,22.7,18.180555,14.0,4.6,2.5951388,0.1,2025,1,11,5,11,True,False,False,False
2025-01-12,89.9,45.87847,14.5,688.2,25283.9,0.0,22.1,16.679861,11.1,4.6,1.7138889,0.5,2025,1,12,6,12,True,False,False,False
2025-01-13,99.1,89.49375,72.5,779.6,15829.3,0.5,16.3,13.758333,11.5,3.9,1.3597223,0.0,2025,1,13,0,13,True,False,False,False
2025-01-14,90.7,79.941666,55.4,721.6,23867.2,0.0,16.1,12.557639,10.0,3.2,1.6465278,0.3,2025,1,14,1,14,True,False,False,False
2025-01-15,89.6,70.36806,36.2,701.0,24814.1,0.0,17.3,13.170834,8.7,5.9,3.0680556,1.3,2025,1,15,2,15,True,False,False,False
2025-01-16,86.7,59.15486,32.7,681.0,24792.3,0.0,18.3,13.765972,10.2,3.9,2.0326388,0.3,2025,1,16,3,16,True,False,False,False
2025-01-17,86.9,69.74375,45.7,718.3,19289.2,0.0,15.2,11.70625,7.8,3.3,1.7138889,0.5,2025,1,17,4,17,True,False,False,False
2025-01-18,94.0,78.89861,62.8,658.4,15368.1,0.0,15.1,12.377084,9.9,2.5,1.2486111,0.1,2025,1,18,5,18,True,False,False,False
2025-01-19,94.7,77.615974,55.3,765.1,22704.1,0.0,17.6,13.295834,9.4,2.6,1.2090278,0.0,2025,1,19,6,19,True,False,False,False
2025-01-20,95.9,83.499306,64.4,591.3,14901.1,0.0,17.3,13.058333,10.7,1.9,1.1993055,0.1,2025,1,20,0,20,True,False,False,False
2025-01-21,94.0,83.91597,70.2,702.7,15335.2,0.1,18.4,13.973611,10.4,3.2,1.56875,0.2,2025,1,21,1,21,True,False,False,False
2025-01-22,97.5,86.969444,74.7,471.6,9077.8,11.5,15.9,12.35625,10.7,4.0,2.2090278,0.8,2025,1,22,2,22,True,False,False,False
2025-01-23,99.7,95.2382,87.1,470.7,8770.1,26.3,13.8,12.088889,10.8,3.3,1.6208333,0.5,2025,1,23,3,23,True,False,False,False
2025-01-24,100.0,98.3375,92.0,509.1,9764.7,10.5,14.5,12.729861,11.9,3.3,1.4763889,0.1,2025,1,24,4,24,True,False,False,False
2025-01-25,98.5,85.18403,65.1,752.9,24344.3,0.0,16.2,13.082639,11.0,2.3,1.1263889,0.0,2025,1,25,5,25,True,False,False,False
2025-01-26,98.2,88.39375,74.2,724.0,25243.3,0.0,18.3,13.838195,10.4,2.0,1.0958333,0.0,2025,1,26,6,26,True,False,False,False
2025-01-27,100.0,87.727776,55.0,771.0,20801.8,0.0,20.5,14.592361,10.4,2.2,1.2,0.0,2025,1,27,0,27,True,False,False,False
2025-01-28,100.0,89.548615,61.4,754.3,26863.0,1.4,20.0,14.834028,10.5,3.9,1.5277778,0.2,2025,1,28,1,28,True,False,False,False
2025-01-29,94.1,77.765976,33.1,769.7,22753.4,0.0,16.8,12.157639,8.5,2.7,1.3708333,0.1,2025,1,29,2,29,True,False,False,False
2025-01-30,99.0,86.13333,70.4,513.9,16672.2,0.4,14.4,12.809722,11.5,3.7,1.8277777,0.2,2025,1,30,3,30,True,False,False,False
2025-01-31,98.6,84.65,70.4,730.9,16775.0,1.0,14.2,12.1625,10.8,3.9,2.0527778,0.3,2025,1,31,4,31,True,False,False,False
2025-02-01,100.0,95.65417,81.8,726.4,15037.8,6.6,15.1,12.511111,11.1,3.2,1.5819445,0.2,2025,2,1,5,32,True,False,False,False
